Year,District,Marks10,Marks12,MeritScore
2019,Belagavi,81.5246594982079,75.89362007168458,96.15
2019,Bengaluru Rural,81.88584837545126,76.06083032490974,92.56
2019,Bengaluru Urban,81.83684647302904,75.43377593360997,97.5
2019,Chennai,79.54022900763358,74.31587786259541,94.22
2019,Coimbatore,78.79758865248226,73.89092198581561,94.34
2019,Davanagere,82.39318725099601,76.1992828685259,98.31
2019,Dharwad,81.55684014869888,77.07524163568773,96.83
2019,Hubli-Dharwad,82.20075697211155,76.0790438247012,95.48
2019,Hyderabad,79.99661654135338,73.26082706766918,90.66
2019,Kochi,80.41098039215686,73.83950980392157,89.07
2019,Mangalore,82.36550000000001,76.50566666666667,93.02
2019,Mysuru,81.76461818181818,75.06,95.46
2019,Pune,80.19129032258064,73.14064516129032,91.26
2019,Shimoga,81.75561338289963,76.39089219330856,95.37
2019,Tumkur,81.57216535433072,76.0678346456693,96.09
2019,Vijayawada,80.39894308943089,74.51016260162602,94.43
2020,Belagavi,81.70961130742049,76.20710247349824,98.44
2020,Bengaluru Rural,82.01258741258741,76.08874125874127,96.97
2020,Bengaluru Urban,81.76496598639456,76.50850340136054,96.3
2020,Chennai,80.54040322580646,74.71475806451612,88.9
2020,Coimbatore,80.08925925925925,74.46437037037037,92.3
2020,Davanagere,82.20209219858157,76.34510638297873,98.05
2020,Dharwad,81.91637010676156,76.25854092526691,99.82
2020,Hubli-Dharwad,81.1994,76.86811999999999,96.45
2020,Hyderabad,79.60725000000001,74.32575,96.17
2020,Kochi,80.33965517241379,74.44344827586207,90.96
2020,Mangalore,82.1549814126394,76.02364312267659,95.51
2020,Mysuru,82.76277566539925,74.95984790874525,95.51
2020,Pune,79.45526315789473,73.71022556390977,94.65
2020,Shimoga,81.31731225296443,76.5019367588933,100.0
2020,Tumkur,82.50262948207171,76.69350597609562,96.91
2020,Vijayawada,80.88307692307691,74.60888888888888,91.76
2021,Belagavi,82.1898106060606,75.33856060606061,94.55
2021,Bengaluru Rural,81.67533088235294,76.581875,100.0
2021,Bengaluru Urban,82.28912727272727,75.42127272727272,96.71
2021,Chennai,80.39730769230769,74.58092307692309,90.81
2021,Coimbatore,80.04123287671233,74.84815068493151,95.46
2021,Davanagere,82.08840000000001,75.77,96.33
2021,Dharwad,81.80546468401486,75.91130111524163,96.0
2021,Hubli-Dharwad,81.47892857142857,76.34006493506494,93.9
2021,Hyderabad,79.81626016260162,74.26382113821138,89.44
2021,Kochi,79.96158878504673,73.2718691588785,90.16
2021,Mangalore,81.89250000000001,74.89239130434783,99.15
2021,Mysuru,81.44405940594059,75.86310231023103,97.95
2021,Pune,80.15536,73.52839999999999,94.43
2021,Shimoga,81.12117857142857,76.16103571428572,95.29
2021,Tumkur,82.32837121212121,76.48125,94.62
2021,Vijayawada,79.39014084507042,74.61556338028169,89.81
2022,Belagavi,81.9603663003663,76.83684981684982,100.0
2022,Bengaluru Rural,81.73267657992565,75.83081784386617,95.84
2022,Bengaluru Urban,82.41814946619218,76.73092526690391,92.18
2022,Chennai,80.00947712418301,74.14339869281046,90.13
2022,Coimbatore,79.48838235294117,73.6645588235294,89.52
2022,Davanagere,82.20806451612903,76.42670250896057,98.59
2022,Dharwad,82.08264406779661,75.8126779661017,100.0
2022,Hubli-Dharwad,82.14141843971632,75.58425531914894,97.77
2022,Hyderabad,79.83985815602837,74.22241134751773,90.54
2022,Kochi,79.42607692307692,74.99346153846153,95.31
2022,Mangalore,82.04891373801917,76.12597444089457,96.9
2022,Mysuru,81.65684981684981,75.8420879120879,95.72
2022,Pune,79.5741875,74.04975,92.14
2022,Shimoga,82.63982269503546,75.62468085106383,94.69
2022,Tumkur,82.20249070631971,76.51739776951673,96.14
2022,Vijayawada,81.0355,73.596,89.97
2023,Belagavi,81.78211538461538,76.13785256410256,95.48
2023,Bengaluru Rural,82.18592233009709,75.6226213592233,94.39
2023,Bengaluru Urban,82.11689781021897,76.75518248175183,96.84
2023,Chennai,80.79240601503759,73.43315789473685,95.05
2023,Coimbatore,80.05612403100776,75.20992248062015,93.04
2023,Davanagere,82.30966996699671,75.9491089108911,97.92
2023,Dharwad,81.54876325088338,75.57473498233216,94.94
2023,Hubli-Dharwad,82.8320788530466,75.5215770609319,94.35
2023,Hyderabad,80.74194244604315,73.62705035971223,100.0
2023,Kochi,79.99045161290323,73.80406451612903,93.35
2023,Mangalore,81.85956228956229,76.03801346801347,97.41
2023,Mysuru,81.97064516129032,76.92014336917563,98.75
2023,Pune,79.75016000000001,73.60503999999999,90.17
2023,Shimoga,82.05403225806451,75.36496774193549,98.61
2023,Tumkur,82.33135313531353,75.82650165016501,100.0
2023,Vijayawada,80.03438461538461,74.26823076923077,90.16
